epoch,loss,acc,mf1,wf1,kappa,ece
1,1.6751619577407837,0.3333333333333333,0.16666666666666666,0.16666666666666666,0.0,0.06219585736592609
2,1.628556489944458,0.3333333333333333,0.16666666666666666,0.16666666666666666,0.0,0.4171405037244161
3,1.5789920091629028,0.3333333333333333,0.16666666666666666,0.16666666666666666,0.0,0.4153639177481333
4,1.5384470224380493,0.6666666666666666,0.5555555555555555,0.5555555555555555,0.4999999999999999,0.40126553177833557
5,1.5025534629821777,0.6666666666666666,0.5555555555555555,0.5555555555555555,0.4999999999999999,0.5692453583081563
6,1.458520770072937,0.6666666666666666,0.5555555555555555,0.5555555555555555,0.4999999999999999,0.38055897752443946
7,1.4190329313278198,0.6666666666666666,0.5555555555555555,0.5555555555555555,0.5,0.3613192240397135
8,1.3774299621582031,0.6666666666666666,0.5555555555555555,0.5555555555555555,0.5,0.3358530203501383
9,1.3410786390304565,0.6666666666666666,0.5555555555555555,0.5555555555555555,0.5,0.5343706607818604
10,1.2915380001068115,0.6666666666666666,0.5555555555555555,0.5555555555555555,0.5,0.5248145262400309
