fold,mode,acc,mf1,wf1,kappa,ece
0,standard,0.2222222222222222,0.09090909090909091,0.08080808080808081,0.0,0.06289176808463204
0,mc30,0.2222222222222222,0.09090909090909091,0.08080808080808081,0.0,0.06262014971839058
0,mc30_reject_5,0.25,0.1,,0.0,
0,mc30_reject_10,0.25,0.1,,0.0,
0,mc30_reject_20,0.2857142857142857,0.1111111111111111,,0.0,
1,standard,0.1,0.03636363636363636,0.01818181818181818,0.0,0.14504944682121276
1,mc30,0.1,0.03636363636363636,0.01818181818181818,0.0,0.14480168521404266
1,mc30_reject_5,0.1111111111111111,0.04,,0.0,
1,mc30_reject_10,0.1111111111111111,0.04,,0.0,
1,mc30_reject_20,0.125,0.04444444444444444,,0.0,
2,standard,0.1,0.03636363636363636,0.01818181818181818,0.0,0.17205396592617037
2,mc30,0.1,0.03636363636363636,0.01818181818181818,0.0,0.17190946638584137
2,mc30_reject_5,0.1111111111111111,0.04,,0.0,
2,mc30_reject_10,0.1111111111111111,0.04,,0.0,
2,mc30_reject_20,0.125,0.04444444444444444,,0.0,
3,standard,0.1,0.04,0.04,-0.09756097560975618,0.15539068281650545
3,mc30,0.1,0.03636363636363636,0.03636363636363636,-0.11111111111111116,0.155632221698761
3,mc30_reject_5,0.1111111111111111,0.04,,-0.125,
3,mc30_reject_10,0.1111111111111111,0.04,,-0.125,
3,mc30_reject_20,0.125,0.05555555555555555,,-0.1428571428571428,
4,standard,0.1111111111111111,0.05,0.022222222222222223,0.0,0.18698161178165013
4,mc30,0.1111111111111111,0.05,0.022222222222222223,0.0,0.18726205163531834
4,mc30_reject_5,0.125,0.07407407407407407,,0.0,
4,mc30_reject_10,0.125,0.07407407407407407,,0.0,
4,mc30_reject_20,0.14285714285714285,0.08333333333333333,,0.0,
